OrderID,OrderDate,Region,CustomerSegment,ProductCategory,SalesChannel,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit,ProfitMargin_Pct
1007726,2021-01-05,North America,B2B Enterprise,Server Hardware,Online Portal,12,812,505,9744,6060,3684,37.8
1000225,2021-01-05,EMEA,Government,Server Hardware,Direct Sales,35,685,425,23975,14875,9100,38.0
1007663,2021-01-05,North America,B2B Enterprise,Enterprise Software,Online Portal,31,216,118,6696,3658,3038,45.4
1007492,2021-01-05,North America,B2C Retail,Server Hardware,Direct Sales,18,787,464,14166,8352,5814,41.0
1002661,2021-01-06,North America,SMB,Server Hardware,Partner Network,16,657,290,10512,4640,5872,55.9
1000846,2021-01-06,North America,B2C Retail,Server Hardware,Direct Sales,27,762,412,20574,11124,9450,45.9
1006321,2021-01-06,APAC,SMB,Consulting,Direct Sales,24,392,196,9408,4704,4704,50.0
1002863,2021-01-06,APAC,B2C Retail,Cloud Services,Partner Network,31,49,28,1519,868,651,42.9
1001065,2021-01-06,North America,B2C Retail,Cloud Services,Direct Sales,13,55,27,715,351,364,50.9
1009447,2021-01-06,EMEA,B2C Retail,Consulting,Direct Sales,19,340,207,6460,3933,2527,39.1
1000722,2021-01-06,North America,B2C Retail,Cloud Services,Partner Network,11,53,21,583,231,352,60.4
1003615,2021-01-06,APAC,B2B Enterprise,Server Hardware,Online Portal,32,818,343,26176,10976,15200,58.1
1000116,2021-01-07,APAC,B2C Retail,Cloud Services,Partner Network,24,54,33,1296,792,504,38.9
1005816,2021-01-07,EMEA,B2B Enterprise,Enterprise Software,Direct Sales,16,228,100,3648,1600,2048,56.1
1006848,2021-01-07,EMEA,B2C Retail,Server Hardware,Online Portal,50,846,326,42300,16300,26000,61.5
1008571,2021-01-07,North America,B2B Enterprise,Enterprise Software,Direct Sales,29,226,93,6554,2697,3857,58.8
1008586,2021-01-07,APAC,B2C Retail,Enterprise Software,Partner Network,43,229,157,9847,6751,3096,31.4
1002045,2021-01-07,North America,SMB,Cloud Services,Online Portal,36,51,23,1836,828,1008,54.9
1005808,2021-01-08,North America,Government,Server Hardware,Direct Sales,52,718,300,37336,15600,21736,58.2
1009233,2021-01-08,North America,B2B Enterprise,Enterprise Software,Online Portal,23,231,129,5313,2967,2346,44.2
1003217,2021-01-08,LATAM,B2B Enterprise,Cloud Services,Direct Sales,19,56,36,1064,684,380,35.7
1000310,2021-01-08,North America,B2C Retail,Server Hardware,Direct Sales,22,723,302,15906,6644,9262,58.2
1007875,2021-01-08,North America,B2C Retail,Server Hardware,Online Portal,21,849,479,17829,10059,7770,43.6
1009759,2021-01-08,APAC,B2C Retail,Enterprise Software,Partner Network,19,250,97,4750,1843,2907,61.2
1002075,2021-01-08,EMEA,B2B Enterprise,Consulting,Direct Sales,21,458,208,9618,4368,5250,54.6
1005214,2021-01-08,APAC,B2B Enterprise,Server Hardware,Partner Network,28,689,306,19292,8568,10724,55.6
1007017,2021-01-09,LATAM,B2B Enterprise,Cloud Services,Online Portal,16,45,33,720,528,192,26.7
1008430,2021-01-09,EMEA,B2B Enterprise,Enterprise Software,Direct Sales,17,233,121,3961,2057,1904,48.1
1009839,2021-01-09,APAC,B2C Retail,Enterprise Software,Partner Network,12,273,137,3276,1644,1632,49.8
1006230,2021-01-09,EMEA,B2C Retail,Cloud Services,Direct Sales,27,47,23,1269,621,648,51.1
1003780,2021-01-09,North America,B2B Enterprise,Enterprise Software,Partner Network,23,250,147,5750,3381,2369,41.2
1003530,2021-01-09,North America,B2B Enterprise,Server Hardware,Online Portal,39,665,279,25935,10881,15054,58.0
1006467,2021-01-09,North America,B2C Retail,Cloud Services,Direct Sales,20,55,22,1100,440,660,60.0
1007665,2021-01-09,LATAM,B2B Enterprise,Server Hardware,Partner Network,31,723,420,22413,13020,9393,41.9
1005395,2021-01-09,North America,SMB,Enterprise Software,Direct Sales,33,264,158,8712,5214,3498,40.2
1008250,2021-01-10,APAC,B2C Retail,Server Hardware,Partner Network,20,817,579,16340,11580,4760,29.1
1003520,2021-01-10,APAC,B2C Retail,Server Hardware,Partner Network,30,801,390,24030,11700,12330,51.3
1004338,2021-01-10,North America,B2C Retail,Cloud Services,Partner Network,4,53,28,212,112,100,47.2
1002521,2021-01-10,APAC,B2C Retail,Cloud Services,Partner Network,54,57,23,3078,1242,1836,59.6
1005945,2021-01-10,APAC,B2C Retail,Enterprise Software,Direct Sales,33,243,92,8019,3036,4983,62.1
1004046,2021-01-10,EMEA,B2B Enterprise,Cloud Services,Direct Sales,32,44,28,1408,896,512,36.4
1003505,2021-01-10,LATAM,B2C Retail,Enterprise Software,Direct Sales,11,234,117,2574,1287,1287,50.0
1002345,2021-01-11,North America,B2B Enterprise,Cloud Services,Online Portal,35,42,24,1470,840,630,42.9
1001466,2021-01-11,North America,SMB,Cloud Services,Partner Network,41,56,29,2296,1189,1107,48.2
1007407,2021-01-11,North America,B2C Retail,Enterprise Software,Online Portal,31,283,106,8773,3286,5487,62.5
1004284,2021-01-11,North America,B2B Enterprise,Cloud Services,Partner Network,17,47,18,799,306,493,61.7
1008802,2021-01-11,EMEA,B2B Enterprise,Server Hardware,Online Portal,29,836,346,24244,10034,14210,58.6
1007747,2021-01-11,EMEA,SMB,Enterprise Software,Direct Sales,27,237,132,6399,3564,2835,44.3
1006050,2021-01-11,APAC,B2C Retail,Server Hardware,Direct Sales,38,766,399,29108,15162,13946,47.9
1009938,2021-01-11,LATAM,B2B Enterprise,Cloud Services,Partner Network,12,47,30,564,360,204,36.2
1004002,2021-01-11,North America,B2B Enterprise,Cloud Services,Online Portal,25,47,29,1175,725,450,38.3
1009015,2021-01-11,North America,B2C Retail,Server Hardware,Online Portal,15,719,503,10785,7545,3240,30.0
1006943,2021-01-11,APAC,Government,Enterprise Software,Direct Sales,34,241,131,8194,4454,3740,45.6
1001919,2021-01-11,APAC,B2B Enterprise,Server Hardware,Direct Sales,20,750,494,15000,9880,5120,34.1
1003879,2021-01-12,LATAM,SMB,Enterprise Software,Direct Sales,23,284,112,6532,2576,3956,60.6
1000447,2021-01-12,North America,B2B Enterprise,Enterprise Software,Online Portal,15,260,168,3900,2520,1380,35.4
1004241,2021-01-12,EMEA,B2C Retail,Consulting,Direct Sales,33,392,253,12936,8349,4587,35.5
1005220,2021-01-12,EMEA,B2C Retail,Cloud Services,Partner Network,42,56,23,2352,966,1386,58.9
1007153,2021-01-12,EMEA,B2B Enterprise,Enterprise Software,Partner Network,31,247,124,7657,3844,3813,49.8
1007040,2021-01-12,APAC,B2C Retail,Cloud Services,Direct Sales,32,45,24,1440,768,672,46.7
1009051,2021-01-12,LATAM,B2C Retail,Cloud Services,Partner Network,13,56,27,728,351,377,51.8
1008366,2021-01-13,North America,B2C Retail,Consulting,Direct Sales,30,455,273,13650,8190,5460,40.0
1000503,2021-01-13,North America,Government,Enterprise Software,Partner Network,30,264,157,7920,4710,3210,40.5
1003973,2021-01-13,EMEA,B2B Enterprise,Cloud Services,Direct Sales,25,52,22,1300,550,750,57.7
1001179,2021-01-13,EMEA,B2C Retail,Enterprise Software,Direct Sales,13,228,117,2964,1521,1443,48.7
1005314,2021-01-13,EMEA,B2B Enterprise,Cloud Services,Direct Sales,18,57,21,1026,378,648,63.2
1009009,2021-01-13,APAC,B2B Enterprise,Consulting,Direct Sales,36,412,175,14832,6300,8532,57.5
1005229,2021-01-14,EMEA,B2C Retail,Cloud Services,Direct Sales,34,48,32,1632,1088,544,33.3
1000021,2021-01-14,EMEA,SMB,Cloud Services,Direct Sales,22,54,39,1188,858,330,27.8
1002241,2021-01-14,North America,B2C Retail,Cloud Services,Online Portal,30,51,32,1530,960,570,37.3
1002910,2021-01-14,North America,B2C Retail,Consulting,Partner Network,19,349,248,6631,4712,1919,28.9
1006302,2021-01-14,North America,B2C Retail,Enterprise Software,Partner Network,34,284,157,9656,5338,4318,44.7
1004139,2021-01-14,EMEA,SMB,Enterprise Software,Direct Sales,25,282,181,7050,4525,2525,35.8
1002398,2021-01-14,EMEA,Government,Enterprise Software,Partner Network,27,220,161,5940,4347,1593,26.8
1002226,2021-01-14,EMEA,B2B Enterprise,Cloud Services,Direct Sales,39,49,23,1911,897,1014,53.1
1007315,2021-01-14,APAC,B2B Enterprise,Enterprise Software,Direct Sales,40,268,129,10720,5160,5560,51.9
1004402,2021-01-14,North America,B2B Enterprise,Enterprise Software,Direct Sales,16,243,123,3888,1968,1920,49.4
1007887,2021-01-14,North America,B2B Enterprise,Cloud Services,Partner Network,8,47,22,376,176,200,53.2
1008497,2021-01-14,North America,B2C Retail,Cloud Services,Online Portal,37,51,19,1887,703,1184,62.7
1001978,2021-01-14,North America,B2B Enterprise,Server Hardware,Online Portal,17,723,387,12291,6579,5712,46.5
1005922,2021-01-14,North America,B2C Retail,Server Hardware,Direct Sales,31,846,322,26226,9982,16244,61.9
1004865,2021-01-14,North America,B2B Enterprise,Enterprise Software,Partner Network,8,242,104,1936,832,1104,57.0
1000167,2021-01-15,North America,B2B Enterprise,Server Hardware,Partner Network,43,811,522,34873,22446,12427,35.6
1007703,2021-01-15,North America,B2C Retail,Enterprise Software,Direct Sales,34,214,91,7276,3094,4182,57.5
1004242,2021-01-15,North America,B2B Enterprise,Cloud Services,Direct Sales,19,57,37,1083,703,380,35.1
1004246,2021-01-15,North America,B2C Retail,Consulting,Partner Network,26,391,283,10166,7358,2808,27.6
1005923,2021-01-15,North America,SMB,Cloud Services,Partner Network,25,54,27,1350,675,675,50.0
1009032,2021-01-15,LATAM,B2B Enterprise,Enterprise Software,Direct Sales,29,222,106,6438,3074,3364,52.3
1004606,2021-01-15,EMEA,B2C Retail,Enterprise Software,Direct Sales,21,272,134,5712,2814,2898,50.7
1008966,2021-01-15,EMEA,B2B Enterprise,Enterprise Software,Online Portal,21,276,100,5796,2100,3696,63.8
1008551,2021-01-15,North America,B2B Enterprise,Enterprise Software,Direct Sales,17,271,176,4607,2992,1615,35.1
1008546,2021-01-15,APAC,B2C Retail,Cloud Services,Direct Sales,25,45,20,1125,500,625,55.6
1005601,2021-01-16,APAC,B2B Enterprise,Server Hardware,Direct Sales,23,792,429,18216,9867,8349,45.8
1009829,2021-01-16,APAC,B2C Retail,Enterprise Software,Partner Network,18,274,181,4932,3258,1674,33.9
1001233,2021-01-16,APAC,B2C Retail,Cloud Services,Partner Network,50,56,32,2800,1600,1200,42.9
1001224,2021-01-16,EMEA,B2B Enterprise,Cloud Services,Online Portal,23,56,22,1288,506,782,60.7
1008146,2021-01-16,LATAM,Government,Enterprise Software,Online Portal,31,221,150,6851,4650,2201,32.1
1003419,2021-01-16,North America,B2C Retail,Consulting,Partner Network,19,422,256,8018,4864,3154,39.3
1003941,2021-01-16,EMEA,SMB,Enterprise Software,Partner Network,37,252,164,9324,6068,3256,34.9
1002898,2021-01-17,EMEA,Government,Cloud Services,Online Portal,22,47,33,1034,726,308,29.8
1006814,2021-01-17,APAC,B2B Enterprise,Server Hardware,Direct Sales,10,776,421,7760,4210,3550,45.7
1007202,2021-01-17,North America,B2B Enterprise,Enterprise Software,Direct Sales,33,273,155,9009,5115,3894,43.2
1002717,2021-01-17,APAC,B2B Enterprise,Cloud Services,Partner Network,33,47,21,1551,693,858,55.3
1007363,2021-01-17,EMEA,SMB,Cloud Services,Online Portal,19,53,29,1007,551,456,45.3
1005546,2021-01-17,LATAM,B2B Enterprise,Cloud Services,Direct Sales,45,46,29,2070,1305,765,37.0
1007847,2021-01-17,North America,B2C Retail,Cloud Services,Direct Sales,25,55,31,1375,775,600,43.6
1000288,2021-01-17,North America,SMB,Enterprise Software,Direct Sales,27,245,170,6615,4590,2025,30.6
1001773,2021-01-17,North America,SMB,Server Hardware,Direct Sales,26,843,464,21918,12064,9854,45.0
1004650,2021-01-17,LATAM,B2B Enterprise,Cloud Services,Partner Network,22,54,35,1188,770,418,35.2
1009660,2021-01-17,North America,B2C Retail,Server Hardware,Partner Network,24,784,457,18816,10968,7848,41.7
1009089,2021-01-17,LATAM,B2C Retail,Cloud Services,Direct Sales,19,51,19,969,361,608,62.7
1000955,2021-01-17,North America,B2B Enterprise,Cloud Services,Online Portal,36,53,37,1908,1332,576,30.2
1005007,2021-01-18,EMEA,B2B Enterprise,Server Hardware,Direct Sales,29,651,277,18879,8033,10846,57.5
1004598,2021-01-18,North America,B2C Retail,Enterprise Software,Partner Network,29,240,101,6960,2929,4031,57.9
1003403,2021-01-18,North America,B2B Enterprise,Consulting,Partner Network,24,352,237,8448,5688,2760,32.7
1008039,2021-01-18,North America,B2B Enterprise,Enterprise Software,Online Portal,47,283,192,13301,9024,4277,32.2
1005732,2021-01-18,North America,SMB,Server Hardware,Direct Sales,35,829,321,29015,11235,17780,61.3
1007681,2021-01-18,North America,B2C Retail,Enterprise Software,Partner Network,16,259,165,4144,2640,1504,36.3
1002738,2021-01-18,North America,B2C Retail,Cloud Services,Online Portal,40,50,34,2000,1360,640,32.0
1009566,2021-01-18,APAC,B2C Retail,Enterprise Software,Direct Sales,15,217,112,3255,1680,1575,48.4
1004430,2021-01-18,APAC,SMB,Cloud Services,Direct Sales,7,47,26,329,182,147,44.7
1004713,2021-01-19,North America,B2C Retail,Enterprise Software,Online Portal,28,275,97,7700,2716,4984,64.7
1008734,2021-01-19,North America,B2C Retail,Server Hardware,Partner Network,9,699,385,6291,3465,2826,44.9
1002232,2021-01-19,APAC,B2C Retail,Cloud Services,Direct Sales,5,53,22,265,110,155,58.5
1009236,2021-01-19,LATAM,B2C Retail,Enterprise Software,Online Portal,30,261,174,7830,5220,2610,33.3
1008672,2021-01-19,North America,B2B Enterprise,Enterprise Software,Partner Network,24,249,153,5976,3672,2304,38.6
1001942,2021-01-19,North America,B2C Retail,Server Hardware,Direct Sales,27,657,348,17739,9396,8343,47.0
1003399,2021-01-19,North America,SMB,Cloud Services,Direct Sales,20,45,29,900,580,320,35.6
1009020,2021-01-19,EMEA,B2B Enterprise,Cloud Services,Direct Sales,26,53,20,1378,520,858,62.3
1003912,2021-01-19,North America,B2C Retail,Cloud Services,Direct Sales,35,52,33,1820,1155,665,36.5
1004602,2021-01-19,North America,SMB,Enterprise Software,Partner Network,41,285,132,11685,5412,6273,53.7
1002573,2021-01-20,APAC,B2B Enterprise,Enterprise Software,Online Portal,24,217,95,5208,2280,2928,56.2
1002279,2021-01-20,APAC,B2C Retail,Enterprise Software,Direct Sales,29,286,179,8294,5191,3103,37.4
1002716,2021-01-20,EMEA,B2C Retail,Enterprise Software,Partner Network,31,232,88,7192,2728,4464,62.1
1000317,2021-01-20,North America,Government,Enterprise Software,Online Portal,21,237,148,4977,3108,1869,37.6
1009338,2021-01-20,EMEA,Government,Cloud Services,Online Portal,25,50,36,1250,900,350,28.0
1007666,2021-01-20,APAC,B2C Retail,Cloud Services,Direct Sales,14,45,31,630,434,196,31.1
1007687,2021-01-20,EMEA,SMB,Server Hardware,Direct Sales,30,691,387,20730,11610,9120,44.0
1008543,2021-01-20,North America,B2B Enterprise,Server Hardware,Direct Sales,24,818,579,19632,13896,5736,29.2
1004371,2021-01-20,North America,B2B Enterprise,Cloud Services,Partner Network,19,52,23,988,437,551,55.8
1003642,2021-01-20,North America,Government,Cloud Services,Direct Sales,15,54,36,810,540,270,33.3
1008917,2021-01-20,LATAM,B2C Retail,Cloud Services,Direct Sales,19,47,34,893,646,247,27.7
1000271,2021-01-20,North America,B2C Retail,Enterprise Software,Direct Sales,10,283,135,2830,1350,1480,52.3
1003585,2021-01-20,North America,Government,Server Hardware,Partner Network,12,717,477,8604,5724,2880,33.5
1000931,2021-01-20,APAC,B2C Retail,Enterprise Software,Partner Network,43,280,139,12040,5977,6063,50.4
1004467,2021-01-20,APAC,B2C Retail,Enterprise Software,Direct Sales,29,262,182,7598,5278,2320,30.5
1008072,2021-01-20,LATAM,B2B Enterprise,Server Hardware,Partner Network,18,724,368,13032,6624,6408,49.2
1002915,2021-01-20,North America,Government,Server Hardware,Online Portal,43,770,465,33110,19995,13115,39.6
1009743,2021-01-21,EMEA,B2C Retail,Consulting,Partner Network,26,346,206,8996,5356,3640,40.5
1007889,2021-01-21,North America,B2C Retail,Enterprise Software,Online Portal,22,229,149,5038,3278,1760,34.9
1000622,2021-01-21,EMEA,B2B Enterprise,Enterprise Software,Online Portal,43,282,141,12126,6063,6063,50.0
1007342,2021-01-21,North America,SMB,Server Hardware,Partner Network,33,778,442,25674,14586,11088,43.2
1008889,2021-01-21,APAC,B2C Retail,Enterprise Software,Direct Sales,22,219,109,4818,2398,2420,50.2
1009931,2021-01-21,APAC,Government,Cloud Services,Partner Network,16,56,20,896,320,576,64.3
1004091,2021-01-22,EMEA,B2B Enterprise,Server Hardware,Online Portal,39,755,333,29445,12987,16458,55.9
1008206,2021-01-22,APAC,B2B Enterprise,Server Hardware,Partner Network,31,821,611,25451,18941,6510,25.6
1008954,2021-01-22,APAC,Government,Enterprise Software,Direct Sales,22,228,80,5016,1760,3256,64.9
1009274,2021-01-22,EMEA,B2C Retail,Server Hardware,Direct Sales,18,758,383,13644,6894,6750,49.5
1007805,2021-01-22,North America,B2C Retail,Consulting,Direct Sales,19,455,250,8645,4750,3895,45.1
1002460,2021-01-22,North America,B2C Retail,Enterprise Software,Direct Sales,25,246,181,6150,4525,1625,26.4
1004304,2021-01-22,EMEA,B2C Retail,Enterprise Software,Direct Sales,11,274,129,3014,1419,1595,52.9
1006442,2021-01-22,North America,SMB,Server Hardware,Partner Network,11,724,364,7964,4004,3960,49.7
1006925,2021-01-22,North America,B2C Retail,Enterprise Software,Online Portal,11,232,160,2552,1760,792,31.0
1004590,2021-01-22,EMEA,B2B Enterprise,Enterprise Software,Partner Network,18,286,166,5148,2988,2160,42.0
1005731,2021-01-22,EMEA,B2B Enterprise,Enterprise Software,Partner Network,25,256,125,6400,3125,3275,51.2
1005630,2021-01-23,APAC,B2B Enterprise,Enterprise Software,Direct Sales,17,239,94,4063,1598,2465,60.7
1009506,2021-01-23,North America,SMB,Server Hardware,Partner Network,23,721,398,16583,9154,7429,44.8
1009551,2021-01-23,North America,B2C Retail,Server Hardware,Partner Network,25,703,281,17575,7025,10550,60.0
1003998,2021-01-23,APAC,B2B Enterprise,Enterprise Software,Direct Sales,41,270,168,11070,6888,4182,37.8
1008232,2021-01-23,LATAM,B2C Retail,Server Hardware,Online Portal,4,678,291,2712,1164,1548,57.1
1008121,2021-01-23,EMEA,B2B Enterprise,Server Hardware,Online Portal,13,767,568,9971,7384,2587,25.9
1001986,2021-01-24,LATAM,B2B Enterprise,Enterprise Software,Partner Network,32,253,148,8096,4736,3360,41.5
1002829,2021-01-24,EMEA,B2B Enterprise,Cloud Services,Online Portal,21,54,34,1134,714,420,37.0
1003155,2021-01-24,EMEA,SMB,Enterprise Software,Partner Network,8,226,162,1808,1296,512,28.3
1005305,2021-01-24,EMEA,B2C Retail,Cloud Services,Partner Network,35,45,19,1575,665,910,57.8
1005579,2021-01-24,EMEA,B2B Enterprise,Server Hardware,Online Portal,25,828,298,20700,7450,13250,64.0
1000107,2021-01-24,LATAM,B2B Enterprise,Server Hardware,Direct Sales,26,653,410,16978,10660,6318,37.2
1003698,2021-01-24,LATAM,B2C Retail,Consulting,Online Portal,34,375,246,12750,8364,4386,34.4
1009879,2021-01-24,North America,B2C Retail,Server Hardware,Partner Network,42,721,447,30282,18774,11508,38.0
1004906,2021-01-24,North America,B2C Retail,Cloud Services,Direct Sales,20,55,25,1100,500,600,54.5
1008768,2021-01-24,EMEA,B2C Retail,Enterprise Software,Online Portal,25,285,111,7125,2775,4350,61.1
1008290,2021-01-25,North America,B2C Retail,Server Hardware,Online Portal,24,833,563,19992,13512,6480,32.4
1002778,2021-01-25,EMEA,B2C Retail,Cloud Services,Direct Sales,24,45,26,1080,624,456,42.2
1004431,2021-01-25,LATAM,SMB,Enterprise Software,Direct Sales,2,235,125,470,250,220,46.8
1008045,2021-01-25,EMEA,Government,Enterprise Software,Partner Network,32,274,185,8768,5920,2848,32.5
1006276,2021-01-25,North America,B2C Retail,Cloud Services,Direct Sales,34,44,19,1496,646,850,56.8
1009324,2021-01-25,North America,SMB,Enterprise Software,Direct Sales,10,235,117,2350,1170,1180,50.2
1005706,2021-01-25,EMEA,B2B Enterprise,Cloud Services,Direct Sales,34,48,26,1632,884,748,45.8
1002244,2021-01-25,North America,SMB,Enterprise Software,Online Portal,41,247,109,10127,4469,5658,55.9
1002999,2021-01-25,North America,Government,Server Hardware,Direct Sales,23,763,384,17549,8832,8717,49.7
1005734,2021-01-25,North America,Government,Server Hardware,Partner Network,19,861,397,16359,7543,8816,53.9
1002827,2021-01-26,EMEA,B2C Retail,Server Hardware,Partner Network,24,859,415,20616,9960,10656,51.7
1007819,2021-01-26,LATAM,B2C Retail,Server Hardware,Direct Sales,27,713,295,19251,7965,11286,58.6
1003295,2021-01-26,APAC,SMB,Cloud Services,Online Portal,14,43,27,602,378,224,37.2
1009485,2021-01-26,APAC,SMB,Enterprise Software,Partner Network,37,228,162,8436,5994,2442,28.9
1000680,2021-01-26,APAC,B2B Enterprise,Enterprise Software,Direct Sales,32,285,124,9120,3968,5152,56.5
1005216,2021-01-26,EMEA,SMB,Cloud Services,Direct Sales,27,42,25,1134,675,459,40.5
1006066,2021-01-26,EMEA,SMB,Enterprise Software,Direct Sales,16,246,154,3936,2464,1472,37.4
1004676,2021-01-26,EMEA,B2C Retail,Server Hardware,Partner Network,31,735,436,22785,13516,9269,40.7
1003684,2021-01-26,North America,B2C Retail,Server Hardware,Direct Sales,31,670,426,20770,13206,7564,36.4
1002365,2021-01-26,North America,Government,Enterprise Software,Direct Sales,40,275,140,11000,5600,5400,49.1
1002865,2021-01-26,North America,SMB,Cloud Services,Direct Sales,21,56,41,1176,861,315,26.8
1008471,2021-01-26,LATAM,B2B Enterprise,Server Hardware,Online Portal,40,694,513,27760,20520,7240,26.1
1000586,2021-01-26,North America,B2B Enterprise,Cloud Services,Direct Sales,20,49,36,980,720,260,26.5
1006513,2021-01-27,APAC,B2B Enterprise,Enterprise Software,Partner Network,21,258,109,5418,2289,3129,57.8
1004801,2021-01-27,APAC,B2C Retail,Server Hardware,Partner Network,24,807,327,19368,7848,11520,59.5
1003855,2021-01-27,North America,B2B Enterprise,Enterprise Software,Partner Network,23,281,168,6463,3864,2599,40.2
1003616,2021-01-27,North America,B2B Enterprise,Cloud Services,Direct Sales,15,50,24,750,360,390,52.0
1003823,2021-01-27,North America,B2B Enterprise,Enterprise Software,Partner Network,26,282,188,7332,4888,2444,33.3
1006379,2021-01-27,North America,B2B Enterprise,Enterprise Software,Partner Network,25,231,168,5775,4200,1575,27.3
1008431,2021-01-27,North America,Government,Cloud Services,Direct Sales,24,45,16,1080,384,696,64.4
1009084,2021-01-28,LATAM,B2B Enterprise,Consulting,Partner Network,38,403,297,15314,11286,4028,26.3
1007156,2021-01-28,APAC,B2B Enterprise,Consulting,Partner Network,36,428,164,15408,5904,9504,61.7
1009497,2021-01-28,North America,B2B Enterprise,Enterprise Software,Direct Sales,32,285,144,9120,4608,4512,49.5
1009169,2021-01-28,North America,Government,Server Hardware,Partner Network,28,642,349,17976,9772,8204,45.6
1009337,2021-01-28,North America,SMB,Enterprise Software,Partner Network,22,239,141,5258,3102,2156,41.0
1008323,2021-01-28,North America,B2B Enterprise,Cloud Services,Partner Network,41,44,15,1804,615,1189,65.9
1009330,2021-01-28,North America,B2C Retail,Enterprise Software,Direct Sales,39,283,209,11037,8151,2886,26.1
1001961,2021-01-29,EMEA,B2B Enterprise,Cloud Services,Online Portal,27,48,19,1296,513,783,60.4
1000818,2021-01-29,North America,SMB,Cloud Services,Partner Network,25,44,25,1100,625,475,43.2
1002790,2021-01-29,APAC,Government,Cloud Services,Direct Sales,30,49,36,1470,1080,390,26.5
1006461,2021-01-29,North America,B2C Retail,Cloud Services,Online Portal,12,53,22,636,264,372,58.5
1000670,2021-01-29,North America,SMB,Server Hardware,Online Portal,37,699,440,25863,16280,9583,37.1
1004980,2021-01-29,North America,B2C Retail,Server Hardware,Partner Network,13,810,347,10530,4511,6019,57.2
