customer_id,tenure_months,contract_type,network_type,monthly_bill,total_call_duration,days_since_recharge,network_drops,complaints,churn_label
TEL-10031,1,Month-to-Month,5G,73.94,645,43,5,3,0
TEL-10032,35,1-Year,4G,84.33,819,8,5,0,0
TEL-10033,2,Month-to-Month,4G,23.9,268,39,2,0,0
TEL-10034,58,Month-to-Month,4G,89.67,634,31,2,2,1
TEL-10035,36,1-Year,5G,57.2,399,39,5,2,0
TEL-10036,62,Month-to-Month,5G,69.66,268,19,0,0,0
TEL-10037,52,2-Year,4G,77.34,377,48,0,0,0
TEL-10038,42,1-Year,4G,117.42,548,44,2,3,0
TEL-10039,40,1-Year,4G,27.28,583,36,0,0,0
TEL-10040,45,1-Year,5G,95.34,392,25,3,0,0
TEL-10041,58,Month-to-Month,4G,94.1,597,33,2,1,0
TEL-10042,6,Month-to-Month,4G,100.21,506,31,0,0,0
TEL-10043,57,Month-to-Month,4G,72.31,717,37,1,1,0
TEL-10044,24,Month-to-Month,5G,82.01,374,22,1,0,0
TEL-10045,17,2-Year,4G,47.98,759,13,0,0,0
TEL-10046,10,Month-to-Month,5G,113.27,488,25,3,4,1
TEL-10047,33,2-Year,5G,66.87,260,22,0,2,0
TEL-10048,37,Month-to-Month,5G,95.71,297,21,0,0,0
TEL-10049,39,1-Year,4G,87.16,732,29,1,2,0
TEL-10050,47,Month-to-Month,4G,62.05,589,40,3,3,0
TEL-10051,51,1-Year,4G,110.42,530,6,3,0,0
TEL-10052,17,Month-to-Month,5G,45.82,557,27,1,0,0
TEL-10053,16,Month-to-Month,4G,84.09,422,17,4,0,0
TEL-10054,42,Month-to-Month,4G,37.7,0,116,0,0,1
TEL-10055,63,1-Year,4G,57.73,527,20,8,0,0
TEL-10056,26,Month-to-Month,5G,23.67,627,18,4,0,0
TEL-10057,28,Month-to-Month,4G,22.01,340,21,0,0,0
TEL-10058,34,1-Year,4G,75.77,721,47,0,0,0
TEL-10059,33,Month-to-Month,4G,20.75,407,15,1,2,1
TEL-10060,31,1-Year,4G,61.04,558,27,4,2,0
TEL-10061,8,2-Year,4G,67.66,435,32,6,1,1
TEL-10062,38,1-Year,5G,78.12,490,15,1,0,0
TEL-10063,2,2-Year,4G,28.79,489,17,1,1,0
TEL-10064,9,1-Year,4G,40.5,600,26,2,0,0
TEL-10065,37,1-Year,5G,101.46,543,48,0,2,0
TEL-10066,38,Month-to-Month,4G,73.98,799,12,0,0,0
TEL-10067,67,Month-to-Month,4G,82.77,368,23,3,1,0
TEL-10068,27,Month-to-Month,4G,94.39,510,23,2,2,1
TEL-10069,56,1-Year,4G,70.23,347,57,1,1,0
TEL-10070,20,1-Year,4G,38.16,525,36,1,0,0
TEL-10071,60,Month-to-Month,4G,79.3,680,34,0,0,1
TEL-10072,21,2-Year,4G,36.55,562,24,0,0,0
TEL-10073,57,1-Year,4G,20.46,348,11,1,3,0
TEL-10074,51,Month-to-Month,4G,44.82,320,30,0,0,0
TEL-10075,49,Month-to-Month,4G,75.73,516,39,0,0,0
TEL-10076,30,1-Year,4G,39.07,495,22,1,0,0
TEL-10077,38,Month-to-Month,4G,96.54,455,20,0,1,0
TEL-10078,32,1-Year,5G,91.6,0,113,0,0,1
TEL-10079,8,Month-to-Month,5G,29.94,622,18,3,2,0
TEL-10080,7,Month-to-Month,5G,83.32,603,32,0,2,0
TEL-10081,2,1-Year,4G,56.31,677,21,0,2,1
TEL-10082,30,1-Year,4G,68.74,517,29,1,0,0
TEL-10083,4,Month-to-Month,4G,33.23,544,34,2,2,0
TEL-10084,37,Month-to-Month,4G,85.14,429,33,0,0,0
TEL-10085,71,1-Year,4G,77.33,451,39,2,0,0
TEL-10086,29,Month-to-Month,5G,58.93,361,14,2,0,0
TEL-10087,33,2-Year,5G,46.99,315,29,3,2,0
TEL-10088,40,Month-to-Month,4G,92.82,796,27,1,0,0
TEL-10089,19,Month-to-Month,4G,51.46,599,38,1,0,0
TEL-10090,70,1-Year,5G,118.06,0,75,2,0,1
TEL-10091,7,Month-to-Month,4G,23.39,337,38,5,4,0
TEL-10092,17,1-Year,4G,85.02,635,7,1,2,0
TEL-10093,4,Month-to-Month,5G,99.07,654,13,4,1,0
TEL-10094,30,,5G,20.02,434,16,5,0,1
TEL-10095,16,Month-to-Month,4G,107.37,247,10,2,0,1
TEL-10096,25,Month-to-Month,4G,47.73,463,19,0,3,0
TEL-10097,11,2-Year,5G,110.37,477,21,3,0,0
TEL-10098,3,Month-to-Month,4G,102.62,577,39,0,0,0
TEL-10099,62,Month-to-Month,4G,119.63,486,37,1,1,1
TEL-10100,29,Month-to-Month,4G,108.87,581,38,1,0,0
TEL-10101,70,1-Year,4G,116.21,506,38,4,0,0
TEL-10102,40,1-Year,4G,44.53,460,25,0,0,0
TEL-10103,45,Month-to-Month,5G,107.18,444,19,2,0,0
TEL-10104,46,Month-to-Month,4G,52.64,351,29,0,0,0
TEL-10105,63,Month-to-Month,4G,59.22,583,20,3,0,0
TEL-10106,65,1-Year,5G,25.79,803,20,1,0,0
TEL-10107,26,1-Year,4G,35.89,601,27,0,2,0
TEL-10108,22,1-Year,5G,33.13,222,22,0,1,0
TEL-10109,27,1-Year,4G,116.82,540,25,2,1,0
TEL-10110,60,Month-to-Month,4G,116.75,475,14,0,0,0
TEL-10111,2,Month-to-Month,4G,99.76,433,9,0,0,0
TEL-10112,45,1-Year,4G,95.71,0,113,0,0,1
TEL-10113,32,1-Year,4G,114.12,509,20,4,0,0
TEL-10114,15,2-Year,4G,40.02,709,37,0,3,1
TEL-10115,62,2-Year,5G,98.34,449,52,2,0,0
TEL-10116,14,Month-to-Month,4G,28.16,345,22,3,1,0
TEL-10117,59,Month-to-Month,5G,85.03,592,17,0,0,0
TEL-10118,20,1-Year,5G,82.88,631,35,1,0,0
TEL-10119,66,,4G,79.77,589,39,9,0,0
TEL-10120,26,1-Year,4G,91.58,548,25,1,0,0
TEL-10121,70,Month-to-Month,4G,85.21,368,11,3,0,0
TEL-10122,10,Month-to-Month,4G,27.35,511,15,0,2,1
TEL-10123,28,1-Year,4G,23.67,627,40,1,2,0
TEL-10124,2,Month-to-Month,4G,32.3,314,34,0,0,1
TEL-10125,43,1-Year,4G,21.74,268,33,1,0,0
TEL-10126,8,Month-to-Month,5G,116.99,541,21,1,2,1
TEL-10127,17,2-Year,4G,103.09,556,33,0,1,0
TEL-10128,62,1-Year,4G,85.78,490,31,4,1,0
TEL-10129,19,Month-to-Month,4G,100.78,608,34,1,2,1
TEL-10130,71,,4G,76.34,0,70,1,0,1
TEL-10131,46,1-Year,4G,70.04,593,28,3,3,0
TEL-10132,15,Month-to-Month,4G,59.44,743,31,2,0,0
TEL-10133,36,Month-to-Month,5G,112.7,386,25,1,0,0
TEL-10134,36,Month-to-Month,4G,91.76,547,27,3,0,1
TEL-10135,42,Month-to-Month,4G,38.52,478,35,0,2,1
TEL-10136,21,Month-to-Month,4G,108.42,394,21,1,0,0
TEL-10137,50,Month-to-Month,5G,93.2,565,36,3,1,0
TEL-10138,33,Month-to-Month,5G,41.67,683,44,1,0,0
TEL-10139,18,2-Year,4G,60.43,751,22,2,4,1
TEL-10140,36,Month-to-Month,4G,28.57,334,20,0,0,0
TEL-10141,50,Month-to-Month,4G,88.01,463,12,0,0,0
TEL-10142,22,Month-to-Month,4G,76.23,351,34,1,0,0
TEL-10143,16,1-Year,5G,58.25,387,35,2,0,0
TEL-10144,14,1-Year,4G,31.76,397,16,0,0,0
TEL-10145,55,Month-to-Month,5G,36.18,554,42,1,0,0
TEL-10146,30,1-Year,4G,92.14,445,23,3,0,0
TEL-10147,10,2-Year,4G,102.25,496,36,1,1,0
TEL-10148,8,Month-to-Month,4G,67.82,262,28,0,1,1
TEL-10149,63,2-Year,4G,84.08,581,15,2,0,0
TEL-10150,31,Month-to-Month,5G,89.5,407,24,2,0,0
TEL-10151,52,1-Year,4G,85.57,570,35,3,0,0
TEL-10152,5,Month-to-Month,4G,21.1,413,2,0,0,0
TEL-10153,53,Month-to-Month,4G,100.15,497,33,0,0,0
TEL-10154,52,Month-to-Month,4G,44.35,663,33,1,2,1
TEL-10155,41,Month-to-Month,4G,88.81,260,23,3,0,0
TEL-10156,49,1-Year,5G,81.39,504,20,0,1,0
TEL-10157,51,Month-to-Month,5G,27.13,379,40,0,0,0
TEL-10158,8,Month-to-Month,4G,46.5,591,41,0,0,1
TEL-10159,62,1-Year,4G,109.58,382,24,1,0,0
TEL-10160,10,1-Year,4G,53.83,343,8,1,1,0
TEL-10161,21,Month-to-Month,5G,48.59,545,30,3,3,1
TEL-10162,7,1-Year,5G,38.06,477,24,2,0,0
TEL-10163,50,1-Year,4G,41.35,685,28,2,0,0
TEL-10164,39,Month-to-Month,4G,77.72,473,38,0,0,0
TEL-10165,64,Month-to-Month,4G,100.01,539,13,2,1,1
TEL-10166,58,Month-to-Month,4G,23.53,382,34,6,0,1
TEL-10167,4,2-Year,5G,58.54,681,34,0,0,0
TEL-10168,38,,4G,36.69,437,16,1,2,0
TEL-10169,24,Month-to-Month,5G,87.65,406,36,3,0,1
TEL-10170,31,1-Year,5G,102.51,154,31,0,1,0
TEL-10171,57,1-Year,5G,113.31,346,46,2,1,0
TEL-10172,16,Month-to-Month,4G,40.29,553,28,0,1,0
TEL-10173,19,2-Year,5G,45.93,654,26,3,0,0
TEL-10174,39,Month-to-Month,4G,69.65,749,23,2,0,0
TEL-10175,30,1-Year,5G,48.27,356,18,3,4,0
TEL-10176,56,Month-to-Month,4G,24.65,657,48,0,0,0
TEL-10177,15,1-Year,4G,108.21,673,24,3,1,0
TEL-10178,49,1-Year,4G,66.39,511,31,0,0,0
TEL-10179,24,2-Year,4G,31.48,564,34,0,1,0
TEL-10180,2,Month-to-Month,4G,86.42,469,26,3,0,0
TEL-10181,59,1-Year,4G,65.92,403,20,0,0,0
TEL-10182,14,2-Year,5G,43.88,547,27,2,0,0
TEL-10183,6,Month-to-Month,4G,57.19,169,17,0,0,1
TEL-10184,41,Month-to-Month,4G,77.76,678,33,1,3,0
TEL-10185,3,1-Year,4G,56.31,881,29,0,0,0
TEL-10186,19,Month-to-Month,5G,108.24,503,42,6,0,0
TEL-10187,59,Month-to-Month,5G,36.22,504,25,1,1,0
TEL-10188,50,Month-to-Month,5G,31.07,541,35,0,0,0
TEL-10189,62,Month-to-Month,4G,91.91,628,26,2,0,0
TEL-10190,15,1-Year,5G,45.4,452,21,0,1,0
TEL-10191,67,Month-to-Month,4G,89.42,209,29,0,0,0
TEL-10192,6,2-Year,5G,87.07,355,29,1,0,0
TEL-10193,25,Month-to-Month,5G,62.14,558,21,7,2,0
TEL-10194,19,1-Year,4G,107.28,0,115,1,0,1
TEL-10195,59,1-Year,4G,93.02,401,29,4,2,0
TEL-10196,62,1-Year,4G,99.46,512,23,10,2,0
TEL-10197,61,Month-to-Month,4G,23.26,422,30,4,0,1
TEL-10198,38,Month-to-Month,5G,79.17,347,35,1,0,0
TEL-10199,55,2-Year,4G,118.38,406,12,4,0,0
TEL-10200,57,Month-to-Month,4G,53.13,289,27,1,0,0
TEL-10201,62,,4G,103.33,427,35,1,0,0
TEL-10202,49,Month-to-Month,5G,81.71,452,20,1,2,0
TEL-10203,1,Month-to-Month,4G,58.99,586,31,2,0,0
TEL-10204,69,1-Year,5G,20.16,427,29,0,0,0
TEL-10205,19,Month-to-Month,4G,79.63,637,29,1,0,0
TEL-10206,10,1-Year,5G,70.22,454,24,2,1,0
TEL-10207,12,1-Year,4G,49.5,901,23,0,0,0
TEL-10208,54,1-Year,5G,105.18,389,26,1,2,0
TEL-10209,41,Month-to-Month,4G,63.1,619,10,0,1,0
TEL-10210,68,Month-to-Month,4G,24.48,534,6,0,0,0
TEL-10211,8,Month-to-Month,5G,56.46,783,23,0,0,1
TEL-10212,64,Month-to-Month,4G,61.42,258,19,0,0,1
TEL-10213,6,Month-to-Month,4G,80.29,269,13,0,0,1
TEL-10214,51,Month-to-Month,5G,55.62,581,36,0,0,0
TEL-10215,63,Month-to-Month,4G,33.92,811,18,1,0,0
TEL-10216,37,Month-to-Month,4G,93.08,512,27,2,3,1
TEL-10217,21,Month-to-Month,4G,94.59,398,28,2,0,1
TEL-10218,52,Month-to-Month,4G,106.35,234,40,0,0,0
TEL-10219,51,Month-to-Month,4G,109.45,170,10,1,0,0
TEL-10220,19,Month-to-Month,4G,51.19,632,35,5,0,0
TEL-10221,41,1-Year,5G,47.88,642,33,0,0,0
TEL-10222,5,Month-to-Month,5G,102.19,527,29,2,0,0
TEL-10223,3,Month-to-Month,4G,83.21,758,34,0,0,0
TEL-10224,16,Month-to-Month,5G,67.83,567,20,2,0,0
TEL-10225,53,Month-to-Month,4G,104.22,278,30,0,0,0
TEL-10226,10,1-Year,5G,102.14,807,36,1,0,0
TEL-10227,59,Month-to-Month,4G,97.53,496,10,0,0,0
TEL-10228,26,Month-to-Month,4G,91.5,632,30,1,0,0
TEL-10229,19,2-Year,5G,76.5,531,38,4,3,0
TEL-10230,29,1-Year,4G,58.76,713,37,0,0,0
TEL-10231,47,1-Year,5G,114.4,472,10,2,4,0
TEL-10232,18,2-Year,4G,83.44,457,31,1,0,0
TEL-10233,45,1-Year,4G,23.59,600,26,0,1,0
TEL-10234,21,Month-to-Month,4G,48.74,418,26,0,0,1
TEL-10235,24,,4G,103.83,526,28,0,1,0
TEL-10236,60,1-Year,5G,59.76,459,43,0,0,0
TEL-10237,34,Month-to-Month,4G,38.17,216,20,0,1,0
TEL-10238,7,Month-to-Month,4G,107.93,577,47,3,1,1
TEL-10239,29,2-Year,5G,44.66,750,26,1,0,0
TEL-10240,15,2-Year,4G,76.13,399,34,2,1,0
TEL-10241,68,Month-to-Month,5G,58.82,324,36,0,3,0
TEL-10242,5,1-Year,4G,69.73,246,20,2,0,0
TEL-10243,62,1-Year,5G,65.97,168,43,0,0,0
TEL-10244,50,1-Year,5G,105.38,507,31,0,0,0
TEL-10245,29,2-Year,4G,110.79,563,28,2,0,0
TEL-10246,59,1-Year,4G,116.02,584,32,1,2,0
TEL-10247,42,1-Year,4G,52.17,570,35,0,0,0
TEL-10248,27,Month-to-Month,4G,115.48,0,94,1,1,1
TEL-10249,18,Month-to-Month,4G,119.24,686,8,1,2,0
TEL-10250,41,Month-to-Month,5G,23.89,438,34,6,0,0
TEL-10251,60,1-Year,4G,63.01,713,22,3,2,0
TEL-10252,46,Month-to-Month,4G,40.71,501,35,1,2,0
TEL-10253,67,1-Year,4G,71.57,409,27,0,3,0
TEL-10254,70,Month-to-Month,4G,25.46,336,17,0,0,0
TEL-10255,69,1-Year,5G,95.91,628,30,3,0,0
TEL-10256,16,2-Year,4G,95.42,718,10,2,0,0
TEL-10257,11,1-Year,4G,82.84,163,25,5,1,1
TEL-10258,66,1-Year,4G,89.72,451,45,5,1,0
TEL-10259,13,1-Year,4G,41.34,358,32,0,1,0
TEL-10260,32,Month-to-Month,4G,58.72,440,30,3,1,0
TEL-10261,49,Month-to-Month,5G,74.07,233,21,1,0,0
TEL-10262,20,Month-to-Month,5G,87.72,276,38,3,0,1
TEL-10263,51,2-Year,5G,21.22,444,29,1,0,0
TEL-10264,69,Month-to-Month,5G,26.84,394,37,1,1,0
TEL-10265,54,2-Year,4G,93.35,539,24,3,1,0
TEL-10266,62,2-Year,4G,71.87,465,18,2,1,0
TEL-10267,35,Month-to-Month,4G,46.85,642,15,6,1,1
TEL-10268,19,Month-to-Month,4G,82.36,305,36,0,3,1
TEL-10269,59,1-Year,4G,79.77,467,30,1,1,0
TEL-10270,49,,4G,74.2,613,42,2,0,0
TEL-10271,25,Month-to-Month,5G,63.4,434,11,2,0,0
TEL-10272,40,Month-to-Month,5G,85.4,354,9,0,0,0
TEL-10273,36,2-Year,4G,113.27,289,30,1,1,0
TEL-10274,6,Month-to-Month,5G,99.97,628,24,4,2,1
TEL-10275,60,Month-to-Month,5G,103.36,989,27,0,1,0
TEL-10276,7,Month-to-Month,4G,25.62,618,27,0,1,0
TEL-10277,5,Month-to-Month,4G,98.65,621,33,1,2,1
TEL-10278,25,Month-to-Month,4G,55.69,657,23,3,0,0
TEL-10279,39,Month-to-Month,4G,43.18,595,25,0,2,1
TEL-10280,67,2-Year,4G,61.45,151,17,2,0,0
TEL-10281,18,2-Year,4G,49.68,190,33,1,1,0
TEL-10282,28,Month-to-Month,4G,51.1,423,21,0,0,0
TEL-10283,19,Month-to-Month,5G,87.9,723,22,0,0,0
TEL-10284,48,,5G,80.56,449,20,0,1,0
TEL-10285,53,Month-to-Month,4G,97.65,654,31,2,0,0
TEL-10286,56,2-Year,5G,103.61,554,31,1,0,0
TEL-10287,3,2-Year,5G,21.34,763,17,0,0,0
TEL-10288,36,Month-to-Month,4G,104.79,554,28,1,0,0
TEL-10289,3,Month-to-Month,4G,55.05,406,26,0,0,0
TEL-10290,2,1-Year,4G,86.17,469,27,3,1,0
TEL-10291,45,1-Year,4G,55.02,668,35,0,0,0
TEL-10292,58,Month-to-Month,4G,110.82,581,42,2,2,0
TEL-10293,54,Month-to-Month,5G,58.62,311,31,1,2,0
TEL-10294,50,Month-to-Month,4G,58.28,576,38,3,0,0
TEL-10295,45,1-Year,4G,102.59,235,25,2,2,1
TEL-10296,33,Month-to-Month,5G,63.23,552,12,0,1,0
TEL-10297,18,Month-to-Month,5G,104.49,570,12,0,0,0
TEL-10298,35,1-Year,5G,77.12,338,16,6,2,0
TEL-10299,35,,4G,21.57,345,39,0,0,1
TEL-10300,68,Month-to-Month,4G,119.07,447,43,2,0,0
TEL-10301,69,2-Year,4G,83.31,122,14,1,2,0
TEL-10302,27,2-Year,5G,87.75,583,26,0,0,0
TEL-10303,64,Month-to-Month,4G,101.03,299,24,0,0,0
TEL-10304,59,1-Year,4G,89.96,562,32,6,0,0
TEL-10305,36,Month-to-Month,4G,27.86,437,30,1,1,1
TEL-10306,46,1-Year,4G,85.9,564,24,4,0,0
TEL-10307,57,2-Year,4G,66.5,422,26,7,2,0
TEL-10308,58,Month-to-Month,4G,42.94,240,25,0,0,1
TEL-10309,56,2-Year,4G,35.56,581,15,0,0,0
TEL-10310,26,Month-to-Month,5G,100.9,438,18,3,0,0
TEL-10311,69,Month-to-Month,5G,67.85,394,38,0,0,0
TEL-10312,55,2-Year,4G,25.7,322,4,2,0,0
TEL-10313,39,Month-to-Month,4G,76.26,502,24,1,1,0
TEL-10314,16,Month-to-Month,5G,52.82,734,25,0,0,0
TEL-10315,54,Month-to-Month,4G,42.98,185,36,2,0,0
TEL-10316,22,Month-to-Month,4G,80.39,734,48,0,1,1
TEL-10317,69,Month-to-Month,5G,37.51,334,34,0,2,1
TEL-10318,49,,5G,82.73,404,32,1,0,0
TEL-10319,8,Month-to-Month,4G,112.45,564,41,0,1,0
TEL-10320,13,Month-to-Month,5G,96.94,675,24,0,0,0
TEL-10321,53,1-Year,5G,25.02,0,93,1,2,1
TEL-10322,57,Month-to-Month,4G,38.91,533,32,1,0,1
TEL-10323,40,Month-to-Month,4G,112.91,404,26,0,2,0
TEL-10324,66,Month-to-Month,4G,86.79,482,30,1,1,0
TEL-10325,49,2-Year,5G,48.16,648,38,1,4,0
TEL-10326,48,Month-to-Month,4G,103.46,596,26,0,0,1
TEL-10327,34,2-Year,4G,38.94,539,35,0,0,0
TEL-10328,53,1-Year,4G,44.95,609,32,0,1,0
TEL-10329,3,Month-to-Month,5G,54.21,683,25,0,1,0
TEL-10330,52,Month-to-Month,4G,93.39,672,46,0,0,1
TEL-10331,21,,4G,102.1,0,114,4,0,1
TEL-10332,53,1-Year,4G,66.4,727,34,0,1,0
TEL-10333,61,Month-to-Month,4G,44.62,705,24,0,1,0
TEL-10334,22,Month-to-Month,4G,42.65,287,34,1,0,0
TEL-10335,47,Month-to-Month,4G,25.18,322,29,3,0,0
TEL-10336,27,Month-to-Month,4G,98.15,369,21,0,1,1
TEL-10337,6,2-Year,4G,36.12,524,28,1,1,0
TEL-10338,35,Month-to-Month,4G,27.68,607,7,1,2,0
TEL-10339,32,Month-to-Month,4G,95.0,849,47,0,0,0
TEL-10340,4,,5G,61.92,272,31,1,1,0
TEL-10341,57,2-Year,5G,48.57,459,22,0,1,0
TEL-10342,56,1-Year,4G,104.47,204,16,4,0,0
TEL-10343,63,Month-to-Month,4G,47.2,485,32,2,0,0
TEL-10344,11,Month-to-Month,5G,65.44,473,14,1,0,0
TEL-10345,30,Month-to-Month,4G,97.63,528,17,1,1,0
TEL-10346,48,1-Year,4G,36.3,443,22,4,3,0
TEL-10347,18,,4G,105.8,396,38,0,1,0
TEL-10348,27,,4G,90.94,571,25,0,0,0
TEL-10349,36,1-Year,4G,101.73,202,21,4,0,0
TEL-10350,67,Month-to-Month,4G,68.44,575,46,0,0,0
TEL-10351,2,1-Year,4G,60.85,441,29,0,0,0
TEL-10352,22,1-Year,4G,53.73,389,24,0,1,0
TEL-10353,5,Month-to-Month,4G,35.63,382,41,2,0,1
TEL-10354,19,Month-to-Month,5G,36.91,686,20,1,1,0
TEL-10355,17,Month-to-Month,4G,70.07,481,28,1,0,1
TEL-10356,65,Month-to-Month,4G,85.21,599,34,1,0,1
TEL-10357,67,2-Year,4G,87.65,750,43,2,0,0
TEL-10358,40,Month-to-Month,4G,52.38,685,41,0,1,0
TEL-10359,32,Month-to-Month,5G,67.85,468,33,1,0,0
TEL-10360,65,,4G,87.28,491,45,2,2,0
TEL-10361,21,Month-to-Month,4G,26.94,529,20,0,3,1
TEL-10362,61,Month-to-Month,4G,110.03,0,118,2,3,1
TEL-10363,70,2-Year,4G,88.46,487,1,0,2,0
TEL-10364,17,2-Year,4G,75.44,699,30,0,1,0
TEL-10365,39,Month-to-Month,4G,118.73,712,3,4,4,0
TEL-10366,29,Month-to-Month,4G,105.96,748,35,0,1,0
TEL-10367,19,Month-to-Month,5G,93.02,322,32,0,0,0
TEL-10368,42,Month-to-Month,4G,72.36,352,17,0,1,0
TEL-10369,11,Month-to-Month,4G,83.78,795,27,0,0,0
TEL-10370,7,Month-to-Month,5G,84.1,295,26,2,0,0
TEL-10371,13,,4G,96.65,346,40,2,0,0
TEL-10372,23,2-Year,4G,51.8,225,37,3,0,0
TEL-10373,30,Month-to-Month,4G,114.1,479,38,8,0,0
TEL-10374,7,Month-to-Month,4G,84.88,866,22,1,0,0
TEL-10375,43,Month-to-Month,5G,89.82,384,25,0,0,0
TEL-10376,28,Month-to-Month,4G,49.63,488,27,1,0,1
TEL-10377,30,Month-to-Month,5G,51.5,291,17,0,1,0
TEL-10378,24,Month-to-Month,4G,60.54,895,33,5,1,1
TEL-10379,21,Month-to-Month,5G,21.29,554,13,0,1,1
TEL-10380,38,Month-to-Month,4G,41.63,408,27,3,2,0
TEL-10381,6,Month-to-Month,5G,66.61,454,27,0,2,1
TEL-10382,58,Month-to-Month,4G,38.48,521,21,2,0,0
TEL-10383,10,Month-to-Month,4G,40.23,419,26,1,0,0
TEL-10384,67,Month-to-Month,4G,27.12,0,74,4,0,1
TEL-10385,44,1-Year,5G,24.56,431,25,0,0,0
TEL-10386,69,Month-to-Month,5G,114.9,449,17,1,0,1
TEL-10387,68,Month-to-Month,4G,37.71,729,34,0,0,0
TEL-10388,45,1-Year,4G,67.51,365,14,3,4,0
TEL-10389,51,Month-to-Month,4G,93.97,474,28,0,2,1
TEL-10390,49,Month-to-Month,4G,115.72,545,35,1,1,0
TEL-10391,45,1-Year,5G,33.3,705,16,1,0,0
TEL-10392,23,Month-to-Month,4G,51.5,419,35,1,0,0
TEL-10393,40,Month-to-Month,4G,81.01,333,27,0,0,0
TEL-10394,38,Month-to-Month,4G,29.13,0,108,0,0,1
TEL-10395,1,Month-to-Month,4G,39.63,640,29,1,2,1
TEL-10396,19,2-Year,4G,36.46,577,22,0,0,0
TEL-10397,31,1-Year,4G,37.18,0,99,0,0,1
TEL-10398,16,1-Year,5G,53.28,765,32,2,2,0
TEL-10399,61,,5G,48.72,550,25,0,0,0
TEL-10400,52,1-Year,4G,71.22,571,29,1,2,1
TEL-10401,31,2-Year,4G,116.56,352,25,2,1,0
TEL-10402,64,Month-to-Month,4G,83.61,623,28,3,2,0
TEL-10403,7,Month-to-Month,4G,22.56,523,29,0,2,1
TEL-10404,7,Month-to-Month,5G,105.72,415,32,2,3,0
TEL-10405,28,1-Year,4G,100.24,480,31,2,1,0
TEL-10406,1,2-Year,4G,79.78,534,21,1,1,0
TEL-10407,71,2-Year,4G,58.34,550,24,1,0,0
TEL-10408,3,Month-to-Month,5G,90.94,682,38,0,2,0
TEL-10409,70,Month-to-Month,5G,54.98,442,33,2,1,0
TEL-10410,13,Month-to-Month,5G,117.58,284,14,0,0,0
TEL-10411,8,Month-to-Month,4G,59.68,107,14,4,0,0
TEL-10412,43,2-Year,5G,65.8,628,19,1,0,0
TEL-10413,37,2-Year,4G,40.42,288,23,0,3,0
TEL-10414,18,Month-to-Month,4G,92.28,614,18,0,0,1
TEL-10415,60,Month-to-Month,5G,119.43,687,23,0,0,0
TEL-10416,58,2-Year,4G,23.77,412,38,1,0,0
TEL-10417,9,2-Year,4G,20.7,0,60,3,0,1
TEL-10418,71,Month-to-Month,4G,38.71,234,32,1,0,0
TEL-10419,31,Month-to-Month,4G,53.93,668,16,3,3,0
TEL-10420,1,Month-to-Month,5G,102.13,379,28,6,0,0
TEL-10421,65,2-Year,4G,103.64,448,28,3,4,0
TEL-10422,16,2-Year,5G,35.99,366,33,0,0,0
TEL-10423,70,Month-to-Month,4G,99.31,406,22,6,0,1
TEL-10424,57,1-Year,5G,90.6,693,28,1,1,0
TEL-10425,41,1-Year,4G,73.11,607,33,2,3,0
TEL-10426,30,2-Year,4G,101.44,354,24,0,0,0
