customer_id,tenure_months,contract_type,network_type,monthly_bill,total_call_duration,days_since_recharge,network_drops,complaints,churn_label,avg_calls_per_month,frustration_index,contract_type_encoded,network_type_encoded,churn_probability,Customer_Segment
TEL-10030,48,Month-to-Month,4G,100.69,427,7,2,0,0,8.71,3.0,2,0,0.17538640443328146,Loyal
TEL-10031,1,Month-to-Month,5G,73.94,645,43,5,3,0,322.5,16.5,2,1,0.4065728911209478,At Risk
TEL-10032,35,1-Year,4G,84.33,819,8,5,0,0,22.75,7.5,0,0,0.14979129504466757,Loyal
TEL-10033,2,Month-to-Month,4G,23.9,268,39,2,0,0,89.33,3.0,2,0,0.27392208983131,Loyal
TEL-10034,58,Month-to-Month,4G,89.67,634,31,2,2,1,10.75,9.0,2,0,0.3689642362874119,At Risk
TEL-10035,36,1-Year,5G,57.2,399,39,5,2,0,10.78,13.5,0,1,0.07212612326924886,At Risk
TEL-10036,62,Month-to-Month,5G,69.66,268,19,0,0,0,4.25,0.0,2,1,0.07569346887441572,Loyal
TEL-10037,52,2-Year,4G,77.34,377,48,0,0,0,7.11,0.0,1,0,0.03563263309017513,Loyal
TEL-10038,42,1-Year,4G,117.42,548,44,2,3,0,12.74,12.0,0,0,0.1594876988191947,At Risk
TEL-10039,40,1-Year,4G,27.28,583,36,0,0,0,14.22,0.0,0,0,0.03923606703831743,Loyal
TEL-10040,45,1-Year,5G,95.34,392,25,3,0,0,8.52,4.5,0,1,0.01895841975955415,Loyal
TEL-10041,58,Month-to-Month,4G,94.1,597,33,2,1,0,10.12,6.0,2,0,0.21331842565386597,Loyal
TEL-10042,6,Month-to-Month,4G,100.21,506,31,0,0,0,72.29,0.0,2,0,0.27490645984990303,Loyal
TEL-10043,57,Month-to-Month,4G,72.31,717,37,1,1,0,12.36,4.5,2,0,0.17013090558510652,Loyal
TEL-10044,24,Month-to-Month,5G,82.01,374,22,1,0,0,14.96,1.5,2,1,0.11714827794697952,Loyal
TEL-10045,17,2-Year,4G,47.98,759,13,0,0,0,42.17,0.0,1,0,0.05956870223340088,Loyal
TEL-10046,10,Month-to-Month,5G,113.27,488,25,3,4,1,44.36,16.5,2,1,0.5002317610416486,At Risk
TEL-10047,33,2-Year,5G,66.87,260,22,0,2,0,7.65,6.0,1,1,0.019154800053380584,Loyal
TEL-10048,37,Month-to-Month,5G,95.71,297,21,0,0,0,7.82,0.0,2,1,0.06462317408182577,Loyal
TEL-10049,39,1-Year,4G,87.16,732,29,1,2,0,18.3,7.5,0,0,0.14547446305043207,Loyal
TEL-10050,47,Month-to-Month,4G,62.05,589,40,3,3,0,12.27,13.5,2,0,0.3972557985230727,At Risk
TEL-10051,51,1-Year,4G,110.42,530,6,3,0,0,10.19,4.5,0,0,0.039045906697156296,Loyal
TEL-10052,17,Month-to-Month,5G,45.82,557,27,1,0,0,30.94,1.5,2,1,0.16303692896591204,Loyal
TEL-10053,16,Month-to-Month,4G,84.09,422,17,4,0,0,24.82,6.0,2,0,0.29277199069289167,Loyal
TEL-10054,42,Month-to-Month,4G,37.7,0,116,0,0,1,0.0,0.0,2,0,0.9917898832684824,Dormant
TEL-10055,63,1-Year,4G,57.73,527,20,8,0,0,8.23,12.0,0,0,0.1400087121650046,At Risk
TEL-10056,26,Month-to-Month,5G,23.67,627,18,4,0,0,23.22,6.0,2,1,0.0853653023644534,Loyal
TEL-10057,28,Month-to-Month,4G,22.01,340,21,0,0,0,11.72,0.0,2,0,0.16971002183548267,Loyal
TEL-10058,34,1-Year,4G,75.77,721,47,0,0,0,20.6,0.0,0,0,0.03741312615362964,Loyal
TEL-10059,33,Month-to-Month,4G,20.75,407,15,1,2,1,11.97,7.5,2,0,0.3721039285066756,Loyal
TEL-10060,31,1-Year,4G,61.04,558,27,4,2,0,17.44,12.0,0,0,0.19898294415732878,At Risk
TEL-10061,8,2-Year,4G,67.66,435,32,6,1,1,48.33,12.0,1,0,0.2823511758470142,At Risk
TEL-10062,38,1-Year,5G,78.12,490,15,1,0,0,12.56,1.5,0,1,0.016311199934901918,Loyal
TEL-10063,2,2-Year,4G,28.79,489,17,1,1,0,163.0,4.5,1,0,0.07457092215581523,Loyal
TEL-10064,9,1-Year,4G,40.5,600,26,2,0,0,60.0,3.0,0,0,0.06175596346388449,Loyal
TEL-10065,37,1-Year,5G,101.46,543,48,0,2,0,14.29,6.0,0,1,0.03687628862708728,Loyal
TEL-10066,38,Month-to-Month,4G,73.98,799,12,0,0,0,20.49,0.0,2,0,0.17777375938317308,Loyal
TEL-10067,67,Month-to-Month,4G,82.77,368,23,3,1,0,5.41,7.5,2,0,0.3268493588112751,Loyal
TEL-10068,27,Month-to-Month,4G,94.39,510,23,2,2,1,18.21,9.0,2,0,0.38530367974675955,At Risk
TEL-10069,56,1-Year,4G,70.23,347,57,1,1,0,6.09,4.5,0,0,0.04218470679973806,Loyal
TEL-10070,20,1-Year,4G,38.16,525,36,1,0,0,25.0,1.5,0,0,0.06907297517266053,Loyal
TEL-10071,60,Month-to-Month,4G,79.3,680,34,0,0,1,11.15,0.0,2,0,0.17745498714702218,Loyal
TEL-10072,21,2-Year,4G,36.55,562,24,0,0,0,25.55,0.0,1,0,0.06729229148816747,Loyal
TEL-10073,57,1-Year,4G,20.46,348,11,1,3,0,6.0,10.5,0,0,0.1648354979871812,At Risk
TEL-10074,51,Month-to-Month,4G,44.82,320,30,0,0,0,6.15,0.0,2,0,0.1710760157676547,Loyal
TEL-10075,49,Month-to-Month,4G,75.73,516,39,0,0,0,10.32,0.0,2,0,0.17376405169930023,Loyal
TEL-10076,30,1-Year,4G,39.07,495,22,1,0,0,15.97,1.5,0,0,0.03247808791961835,Loyal
TEL-10077,38,Month-to-Month,4G,96.54,455,20,0,1,0,11.67,3.0,2,0,0.17648129826342754,Loyal
TEL-10078,32,1-Year,5G,91.6,0,113,0,0,1,0.0,0.0,0,1,0.9966666666666667,Dormant
TEL-10079,8,Month-to-Month,5G,29.94,622,18,3,2,0,69.11,10.5,2,1,0.3989605738326405,At Risk
TEL-10080,7,Month-to-Month,5G,83.32,603,32,0,2,0,75.38,6.0,2,1,0.141277253771018,Loyal
TEL-10081,2,1-Year,4G,56.31,677,21,0,2,1,225.67,6.0,0,0,0.14603668258250774,Loyal
TEL-10082,30,1-Year,4G,68.74,517,29,1,0,0,16.68,1.5,0,0,0.03271176056525719,Loyal
TEL-10083,4,Month-to-Month,4G,33.23,544,34,2,2,0,108.8,9.0,2,0,0.4496570199917589,At Risk
TEL-10084,37,Month-to-Month,4G,85.14,429,33,0,0,0,11.29,0.0,2,0,0.17709137082081217,Loyal
TEL-10085,71,1-Year,4G,77.33,451,39,2,0,0,6.26,3.0,0,0,0.02805044923224492,Loyal
TEL-10086,29,Month-to-Month,5G,58.93,361,14,2,0,0,12.03,3.0,2,1,0.06378798889772455,Loyal
TEL-10087,33,2-Year,5G,46.99,315,29,3,2,0,9.26,10.5,1,1,0.07169664160463443,At Risk
TEL-10088,40,Month-to-Month,4G,92.82,796,27,1,0,0,19.41,1.5,2,0,0.17845768923798033,Loyal
TEL-10089,19,Month-to-Month,4G,51.46,599,38,1,0,0,29.95,1.5,2,0,0.27324010540599764,Loyal
TEL-10090,70,1-Year,5G,118.06,0,75,2,0,1,0.0,3.0,0,1,1.0,Dormant
TEL-10091,7,Month-to-Month,4G,23.39,337,38,5,4,0,42.13,19.5,2,0,0.5125448468055287,At Risk
TEL-10092,17,1-Year,4G,85.02,635,7,1,2,0,35.28,7.5,0,0,0.2331473593147724,Loyal
TEL-10093,4,Month-to-Month,5G,99.07,654,13,4,1,0,130.8,9.0,2,1,0.32008290219120134,At Risk
TEL-10094,30,Month-to-Month,5G,20.02,434,16,5,0,1,14.0,7.5,2,1,0.4603809682853479,Loyal
TEL-10095,16,Month-to-Month,4G,107.37,247,10,2,0,1,14.53,3.0,2,0,0.26103742954201986,Loyal
TEL-10096,25,Month-to-Month,4G,47.73,463,19,0,3,0,17.81,9.0,2,0,0.386070712776989,At Risk
TEL-10097,11,2-Year,5G,110.37,477,21,3,0,0,39.75,4.5,1,1,0.03598257640848837,Loyal
TEL-10098,3,Month-to-Month,4G,102.62,577,39,0,0,0,144.25,0.0,2,0,0.27593453922023475,Loyal
TEL-10099,62,Month-to-Month,4G,119.63,486,37,1,1,1,7.71,4.5,2,0,0.1845258845115092,Loyal
TEL-10100,29,Month-to-Month,4G,108.87,581,38,1,0,0,19.37,1.5,2,0,0.18393676542493925,Loyal
TEL-10101,70,1-Year,4G,116.21,506,38,4,0,0,7.13,6.0,0,0,0.06817590732839116,Loyal
TEL-10102,40,1-Year,4G,44.53,460,25,0,0,0,11.22,0.0,0,0,0.03128362195460489,Loyal
TEL-10103,45,Month-to-Month,5G,107.18,444,19,2,0,0,9.65,3.0,2,1,0.0645305525429863,Loyal
TEL-10104,46,Month-to-Month,4G,52.64,351,29,0,0,0,7.47,0.0,2,0,0.16965140942677392,Loyal
TEL-10105,63,Month-to-Month,4G,59.22,583,20,3,0,0,9.11,4.5,2,0,0.16484072647735246,Loyal
TEL-10106,65,1-Year,5G,25.79,803,20,1,0,0,12.17,1.5,0,1,0.024240486607436277,Loyal
TEL-10107,26,1-Year,4G,35.89,601,27,0,2,0,22.26,6.0,0,0,0.07393758063496492,Loyal
TEL-10108,22,1-Year,5G,33.13,222,22,0,1,0,9.65,3.0,0,1,0.030528670287391712,Loyal
TEL-10109,27,1-Year,4G,116.82,540,25,2,1,0,19.29,6.0,0,0,0.052206501966540614,Loyal
TEL-10110,60,Month-to-Month,4G,116.75,475,14,0,0,0,7.79,0.0,2,0,0.1674485511488102,Loyal
TEL-10111,2,Month-to-Month,4G,99.76,433,9,0,0,0,144.33,0.0,2,0,0.2776253114215535,Loyal
TEL-10112,45,1-Year,4G,95.71,0,113,0,0,1,0.0,0.0,0,0,1.0,Dormant
TEL-10113,32,1-Year,4G,114.12,509,20,4,0,0,15.42,6.0,0,0,0.05344967860397008,Loyal
TEL-10114,15,2-Year,4G,40.02,709,37,0,3,1,44.31,9.0,1,0,0.2948947921848351,At Risk
TEL-10115,62,2-Year,5G,98.34,449,52,2,0,0,7.13,3.0,1,1,0.019767968981870027,Loyal
TEL-10116,14,Month-to-Month,4G,28.16,345,22,3,1,0,23.0,7.5,2,0,0.4252556178463016,Loyal
TEL-10117,59,Month-to-Month,5G,85.03,592,17,0,0,0,9.87,0.0,2,1,0.06777595461830214,Loyal
TEL-10118,20,1-Year,5G,82.88,631,35,1,0,0,30.05,1.5,0,1,0.028360879276681343,Loyal
TEL-10119,66,Month-to-Month,4G,79.77,589,39,9,0,0,8.79,13.5,2,0,0.3647340037174934,At Risk
TEL-10120,26,1-Year,4G,91.58,548,25,1,0,0,20.3,1.5,0,0,0.03397614414318079,Loyal
TEL-10121,70,Month-to-Month,4G,85.21,368,11,3,0,0,5.18,4.5,2,0,0.16487850959121572,Loyal
TEL-10122,10,Month-to-Month,4G,27.35,511,15,0,2,1,46.45,6.0,2,0,0.3238424372545517,Loyal
TEL-10123,28,1-Year,4G,23.67,627,40,1,2,0,21.62,7.5,0,0,0.14984211102721331,Loyal
TEL-10124,2,Month-to-Month,4G,32.3,314,34,0,0,1,104.67,0.0,2,0,0.27639337834996314,Loyal
TEL-10125,43,1-Year,4G,21.74,268,33,1,0,0,6.09,1.5,0,0,0.030398792458228973,Loyal
TEL-10126,8,Month-to-Month,5G,116.99,541,21,1,2,1,60.11,7.5,2,1,0.3810137352376009,Loyal
TEL-10127,17,2-Year,4G,103.09,556,33,0,1,0,30.89,3.0,1,0,0.072040274773272,Loyal
TEL-10128,62,1-Year,4G,85.78,490,31,4,1,0,7.78,9.0,0,0,0.13109504457455226,At Risk
TEL-10129,19,Month-to-Month,4G,100.78,608,34,1,2,1,30.4,7.5,2,0,0.4427737075367341,Loyal
TEL-10130,71,Month-to-Month,4G,76.34,0,70,1,0,1,0.0,1.5,2,0,0.9924444444444444,Dormant
TEL-10131,46,1-Year,4G,70.04,593,28,3,3,0,12.62,13.5,0,0,0.18084699596556456,At Risk
TEL-10132,15,Month-to-Month,4G,59.44,743,31,2,0,0,46.44,3.0,2,0,0.2658178857284807,Loyal
TEL-10133,36,Month-to-Month,5G,112.7,386,25,1,0,0,10.43,1.5,2,1,0.06738416642410117,Loyal
TEL-10134,36,Month-to-Month,4G,91.76,547,27,3,0,1,14.78,4.5,2,0,0.18794511679957032,Loyal
TEL-10135,42,Month-to-Month,4G,38.52,478,35,0,2,1,11.12,6.0,2,0,0.22109796587379713,Loyal
TEL-10136,21,Month-to-Month,4G,108.42,394,21,1,0,0,17.91,1.5,2,0,0.269737657595913,Loyal
TEL-10137,50,Month-to-Month,5G,93.2,565,36,3,1,0,11.08,7.5,2,1,0.230634981741335,Loyal
TEL-10138,33,Month-to-Month,5G,41.67,683,44,1,0,0,20.09,1.5,2,1,0.09649632351559025,Loyal
TEL-10139,18,2-Year,4G,60.43,751,22,2,4,1,39.53,15.0,1,0,0.252172667892284,At Risk
TEL-10140,36,Month-to-Month,4G,28.57,334,20,0,0,0,9.03,0.0,2,0,0.17652691561364692,Loyal
TEL-10141,50,Month-to-Month,4G,88.01,463,12,0,0,0,9.08,0.0,2,0,0.16970546784697046,Loyal
TEL-10142,22,Month-to-Month,4G,76.23,351,34,1,0,0,15.26,1.5,2,0,0.2686237329167389,Loyal
TEL-10143,16,1-Year,5G,58.25,387,35,2,0,0,22.76,3.0,0,1,0.024082552096255077,Loyal
TEL-10144,14,1-Year,4G,31.76,397,16,0,0,0,26.47,0.0,0,0,0.06600322227845382,Loyal
TEL-10145,55,Month-to-Month,5G,36.18,554,42,1,0,0,9.89,1.5,2,1,0.06764131904027226,Loyal
TEL-10146,30,1-Year,4G,92.14,445,23,3,0,0,14.35,4.5,0,0,0.03487300956593465,Loyal
TEL-10147,10,2-Year,4G,102.25,496,36,1,1,0,45.09,4.5,1,0,0.06506129568870642,Loyal
TEL-10148,8,Month-to-Month,4G,67.82,262,28,0,1,1,29.11,3.0,2,0,0.2663497672021343,Loyal
TEL-10149,63,2-Year,4G,84.08,581,15,2,0,0,9.08,3.0,1,0,0.02966679181162267,Loyal
TEL-10150,31,Month-to-Month,5G,89.5,407,24,2,0,0,12.72,3.0,2,1,0.06805658307796594,Loyal
TEL-10151,52,1-Year,4G,85.57,570,35,3,0,0,10.75,4.5,0,0,0.03083777681291652,Loyal
TEL-10152,5,Month-to-Month,4G,21.1,413,2,0,0,0,68.83,0.0,2,0,0.2672612465858531,Loyal
TEL-10153,53,Month-to-Month,4G,100.15,497,33,0,0,0,9.2,0.0,2,0,0.17391101797273176,Loyal
TEL-10154,52,Month-to-Month,4G,44.35,663,33,1,2,1,12.51,7.5,2,0,0.3698678522031757,Loyal
TEL-10155,41,Month-to-Month,4G,88.81,260,23,3,0,0,6.19,4.5,2,0,0.17022105508074886,Loyal
TEL-10156,49,1-Year,5G,81.39,504,20,0,1,0,10.08,3.0,0,1,0.018162247601580896,Loyal
TEL-10157,51,Month-to-Month,5G,27.13,379,40,0,0,0,7.29,0.0,2,1,0.06690269264420072,Loyal
TEL-10158,8,Month-to-Month,4G,46.5,591,41,0,0,1,65.67,0.0,2,0,0.2780456921659271,Loyal
TEL-10159,62,1-Year,4G,109.58,382,24,1,0,0,6.06,1.5,0,0,0.0264028808530726,Loyal
TEL-10160,10,1-Year,4G,53.83,343,8,1,1,0,31.18,4.5,0,0,0.05784800155025862,Loyal
TEL-10161,21,Month-to-Month,5G,48.59,545,30,3,3,1,24.77,13.5,2,1,0.42064727793054424,At Risk
TEL-10162,7,1-Year,5G,38.06,477,24,2,0,0,59.63,3.0,0,1,0.03721905336410405,Loyal
TEL-10163,50,1-Year,4G,41.35,685,28,2,0,0,13.43,3.0,0,0,0.03359000381342569,Loyal
TEL-10164,39,Month-to-Month,4G,77.72,473,38,0,0,0,11.83,0.0,2,0,0.17224882774216332,Loyal
TEL-10165,64,Month-to-Month,4G,100.01,539,13,2,1,1,8.29,6.0,2,0,0.23181334440136456,Loyal
TEL-10166,58,Month-to-Month,4G,23.53,382,34,6,0,1,6.47,9.0,2,0,0.34612689415638215,At Risk
TEL-10167,4,2-Year,5G,58.54,681,34,0,0,0,136.2,0.0,1,1,0.0313869616216884,Loyal
TEL-10168,38,Month-to-Month,4G,36.69,437,16,1,2,0,11.21,7.5,2,0,0.3598578027122655,Loyal
TEL-10169,24,Month-to-Month,5G,87.65,406,36,3,0,1,16.24,4.5,2,1,0.1242739487637912,Loyal
TEL-10170,31,1-Year,5G,102.51,154,31,0,1,0,4.81,3.0,0,1,0.01858798394112312,Loyal
TEL-10171,57,1-Year,5G,113.31,346,46,2,1,0,5.97,6.0,0,1,0.03772834143762288,Loyal
TEL-10172,16,Month-to-Month,4G,40.29,553,28,0,1,0,32.53,3.0,2,0,0.26970371604818055,Loyal
TEL-10173,19,2-Year,5G,45.93,654,26,3,0,0,32.7,4.5,1,1,0.027307613366599866,Loyal
TEL-10174,39,Month-to-Month,4G,69.65,749,23,2,0,0,18.73,3.0,2,0,0.17863520001111574,Loyal
TEL-10175,30,1-Year,5G,48.27,356,18,3,4,0,11.48,16.5,0,1,0.14293558873575854,At Risk
TEL-10176,56,Month-to-Month,4G,24.65,657,48,0,0,0,11.53,0.0,2,0,0.17950242323702678,Loyal
TEL-10177,15,1-Year,4G,108.21,673,24,3,1,0,42.06,7.5,0,0,0.21162196438765915,Loyal
TEL-10178,49,1-Year,4G,66.39,511,31,0,0,0,10.22,0.0,0,0,0.028745532210542653,Loyal
TEL-10179,24,2-Year,4G,31.48,564,34,0,1,0,22.56,3.0,1,0,0.08398585148041018,Loyal
TEL-10180,2,Month-to-Month,4G,86.42,469,26,3,0,0,156.33,4.5,2,0,0.2626559653226067,Loyal
TEL-10181,59,1-Year,4G,65.92,403,20,0,0,0,6.72,0.0,0,0,0.028273773270409017,Loyal
TEL-10182,14,2-Year,5G,43.88,547,27,2,0,0,36.47,3.0,1,1,0.029475388062693123,Loyal
TEL-10183,6,Month-to-Month,4G,57.19,169,17,0,0,1,24.14,0.0,2,0,0.2868470476205257,Loyal
TEL-10184,41,Month-to-Month,4G,77.76,678,33,1,3,0,16.14,10.5,2,0,0.397033149952037,At Risk
TEL-10185,3,1-Year,4G,56.31,881,29,0,0,0,220.25,0.0,0,0,0.10203407234939049,Loyal
TEL-10186,19,Month-to-Month,5G,108.24,503,42,6,0,0,25.15,9.0,2,1,0.3304099221885408,At Risk
TEL-10187,59,Month-to-Month,5G,36.22,504,25,1,1,0,8.4,4.5,2,1,0.0757884251107413,Loyal
TEL-10188,50,Month-to-Month,5G,31.07,541,35,0,0,0,10.61,0.0,2,1,0.07259220189787166,Loyal
TEL-10189,62,Month-to-Month,4G,91.91,628,26,2,0,0,9.97,3.0,2,0,0.17687274205580508,Loyal
TEL-10190,15,1-Year,5G,45.4,452,21,0,1,0,28.25,3.0,0,1,0.028491806627050496,Loyal
TEL-10191,67,Month-to-Month,4G,89.42,209,29,0,0,0,3.07,0.0,2,0,0.14103261638915035,Loyal
TEL-10192,6,2-Year,5G,87.07,355,29,1,0,0,50.71,1.5,1,1,0.030921815539964485,Loyal
TEL-10193,25,Month-to-Month,5G,62.14,558,21,7,2,0,21.46,16.5,2,1,0.3256859761286694,At Risk
TEL-10194,19,1-Year,4G,107.28,0,115,1,0,1,0.0,1.5,0,0,1.0,Dormant
TEL-10195,59,1-Year,4G,93.02,401,29,4,2,0,6.68,12.0,0,0,0.15081645311088449,At Risk
TEL-10196,62,1-Year,4G,99.46,512,23,10,2,0,8.13,21.0,0,0,0.2368705602931981,At Risk
TEL-10197,61,Month-to-Month,4G,23.26,422,30,4,0,1,6.81,6.0,2,0,0.22487527243824926,Loyal
TEL-10198,38,Month-to-Month,5G,79.17,347,35,1,0,0,8.9,1.5,2,1,0.07291558085673695,Loyal
TEL-10199,55,2-Year,4G,118.38,406,12,4,0,0,7.25,6.0,1,0,0.06473948114262398,Loyal
TEL-10200,57,Month-to-Month,4G,53.13,289,27,1,0,0,4.98,1.5,2,0,0.1670812081917925,Loyal
TEL-10201,62,Month-to-Month,4G,103.33,427,35,1,0,0,6.78,1.5,2,0,0.16748636708278572,Loyal
TEL-10202,49,Month-to-Month,5G,81.71,452,20,1,2,0,9.04,7.5,2,1,0.23455499747557906,Loyal
TEL-10203,1,Month-to-Month,4G,58.99,586,31,2,0,0,293.0,3.0,2,0,0.24608665290173978,Loyal
TEL-10204,69,1-Year,5G,20.16,427,29,0,0,0,6.1,0.0,0,1,0.03194924979393467,Loyal
TEL-10205,19,Month-to-Month,4G,79.63,637,29,1,0,0,31.85,1.5,2,0,0.2666813238499004,Loyal
TEL-10206,10,1-Year,5G,70.22,454,24,2,1,0,41.27,6.0,0,1,0.03594888948582551,Loyal
TEL-10207,12,1-Year,4G,49.5,901,23,0,0,0,69.31,0.0,0,0,0.05814489494582406,Loyal
TEL-10208,54,1-Year,5G,105.18,389,26,1,2,0,7.07,7.5,0,1,0.06375865392637506,Loyal
TEL-10209,41,Month-to-Month,4G,63.1,619,10,0,1,0,14.74,3.0,2,0,0.18151379630890588,Loyal
TEL-10210,68,Month-to-Month,4G,24.48,534,6,0,0,0,7.74,0.0,2,0,0.177597929906715,Loyal
TEL-10211,8,Month-to-Month,5G,56.46,783,23,0,0,1,87.0,0.0,2,1,0.15506367954612169,Loyal
TEL-10212,64,Month-to-Month,4G,61.42,258,19,0,0,1,3.97,0.0,2,0,0.13958506360279363,Loyal
TEL-10213,6,Month-to-Month,4G,80.29,269,13,0,0,1,38.43,0.0,2,0,0.2827001200777078,Loyal
TEL-10214,51,Month-to-Month,5G,55.62,581,36,0,0,0,11.17,0.0,2,1,0.07200997549892733,Loyal
TEL-10215,63,Month-to-Month,4G,33.92,811,18,1,0,0,12.67,1.5,2,0,0.1854303271872931,Loyal
TEL-10216,37,Month-to-Month,4G,93.08,512,27,2,3,1,13.47,12.0,2,0,0.418118322854612,At Risk
TEL-10217,21,Month-to-Month,4G,94.59,398,28,2,0,1,18.09,3.0,2,0,0.27308647429441424,Loyal
TEL-10218,52,Month-to-Month,4G,106.35,234,40,0,0,0,4.42,0.0,2,0,0.16896054722194573,Loyal
TEL-10219,51,Month-to-Month,4G,109.45,170,10,1,0,0,3.27,1.5,2,0,0.14230958856990264,Loyal
TEL-10220,19,Month-to-Month,4G,51.19,632,35,5,0,0,31.6,7.5,2,0,0.43561270421363274,Loyal
TEL-10221,41,1-Year,5G,47.88,642,33,0,0,0,15.29,0.0,0,1,0.03213045458318038,Loyal
TEL-10222,5,Month-to-Month,5G,102.19,527,29,2,0,0,87.83,3.0,2,1,0.1561277501958568,Loyal
TEL-10223,3,Month-to-Month,4G,83.21,758,34,0,0,0,189.5,0.0,2,0,0.2628737842701901,Loyal
TEL-10224,16,Month-to-Month,5G,67.83,567,20,2,0,0,33.35,3.0,2,1,0.13989931584895307,Loyal
TEL-10225,53,Month-to-Month,4G,104.22,278,30,0,0,0,5.15,0.0,2,0,0.17041113638757804,Loyal
TEL-10226,10,1-Year,5G,102.14,807,36,1,0,0,73.36,1.5,0,1,0.03006425617105654,Loyal
TEL-10227,59,Month-to-Month,4G,97.53,496,10,0,0,0,8.27,0.0,2,0,0.17069169733443534,Loyal
TEL-10228,26,Month-to-Month,4G,91.5,632,30,1,0,0,23.41,1.5,2,0,0.18445492723876725,Loyal
TEL-10229,19,2-Year,5G,76.5,531,38,4,3,0,26.55,15.0,1,1,0.17005911137167776,At Risk
TEL-10230,29,1-Year,4G,58.76,713,37,0,0,0,23.77,0.0,0,0,0.03475934309993825,Loyal
TEL-10231,47,1-Year,5G,114.4,472,10,2,4,0,9.83,15.0,0,1,0.14703055288124534,At Risk
TEL-10232,18,2-Year,4G,83.44,457,31,1,0,0,24.05,1.5,1,0,0.07145438708105832,Loyal
TEL-10233,45,1-Year,4G,23.59,600,26,0,1,0,13.04,3.0,0,0,0.034790340051831986,Loyal
TEL-10234,21,Month-to-Month,4G,48.74,418,26,0,0,1,19.0,0.0,2,0,0.27450714338129617,Loyal
